date,website,clicks,revenue,impressions,tag_loads,page_with_ads,cpm,view_measured_impressions,viewable_impressions,viewability_rate
2023-12-12,Cairo24.com,0,14.54,93220,255550,232761,0.16,88979,69611,0.78
2023-12-13,Cairo24.com,0,49.07,315988,416335,382642,0.16,274873,203115,0.74
2023-12-14,Cairo24.com,0,103.95,534152,444272,409989,0.19,1012192,724268,0.72
2023-12-15,Cairo24.com,0,113.55,629219,496588,462620,0.18,1209212,912058,0.75
2023-12-16,Cairo24.com,0,98.80,633158,423255,394993,0.16,1217656,947040,0.78
2023-12-17,Cairo24.com,0,88.97,627447,430320,397538,0.14,606371,465122,0.77
2023-12-18,Cairo24.com,0,86.58,588114,413384,379939,0.15,562064,423789,0.75
2023-12-19,Cairo24.com,0,81.55,600405,391229,359919,0.14,571046,438290,0.77
2023-12-20,Cairo24.com,0,94.58,608141,394747,364870,0.16,577228,449152,0.78
2023-12-21,Cairo24.com,0,80.41,589300,379078,349449,0.14,561599,439046,0.78
2023-12-22,Cairo24.com,0,84.81,633198,392310,364559,0.13,602567,470840,0.78
2023-12-23,Cairo24.com,0,83.38,636855,424268,394169,0.13,582059,451788,0.78
2023-12-24,Cairo24.com,0,93.67,707197,438719,406301,0.13,636888,496128,0.78
2023-12-25,Cairo24.com,0,100.05,724795,421135,390180,0.14,625341,487220,0.78
2023-12-26,Cairo24.com,0,89.69,648698,415016,383684,0.14,557392,432736,0.78
2023-12-27,Cairo24.com,0,99.85,788647,434151,402618,0.13,623312,490804,0.79
2023-12-28,Cairo24.com,0,90.59,718468,439638,405530,0.13,601586,469771,0.78
2023-12-29,Cairo24.com,0,90.15,727619,428460,397340,0.12,605152,474727,0.78
2023-12-30,Cairo24.com,0,88.30,738534,449619,417701,0.12,589474,465234,0.79
2023-12-31,Cairo24.com,0,124.60,880294,688189,635241,0.14,703151,523357,0.74
